Mach,e,avg_Ldot
1.2,0.7,-0.514843274717322
1.7,0.7,-0.6900505850073463
0.4,0.7,-0.12436660419525972
0.2,0.7,-0.040659494469694496
2.5,0.7,-0.6974862791346824
0.8,0.7,-0.33889543321821
1.6,0.7,-0.6535025587950959
2.0,0.7,-0.7392279081155793
1.0,0.7,-0.4340741664150235
1.2,0.3,-1.1315448689700214
1.7,0.3,-1.160362695229076
0.4,0.3,-0.14657602919330837
0.2,0.3,-0.04304015898251704
2.5,0.3,-0.5503401100355207
0.8,0.3,-0.5579968901231613
1.6,0.3,-1.2077702887192998
1.0,0.5,-0.6569121139668795
0.8,0.5,-0.4887362797979756
0.6,0.5,-0.28659779339640934
1.5,0.5,-0.9574047849718671
2.5,0.5,-0.7402062257037195
1.5,0.5,-0.9574047849718671
2.0,0.5,-0.9572579753301624
2.0,0.3,-0.9016193882935564
1.2,0.9,-0.24574880634775123
1.7,0.9,-0.30139877143236127
0.4,0.9,-0.07769673527904261
0.2,0.9,-0.029775784477197056
2.5,0.9,-0.3620102086361892
0.8,0.9,-0.16996520263981774
1.6,0.9,-0.2952863576962279
2.0,0.9,-0.3441186007824769
1.0,0.9,-0.20975827601883296
4.0,0.7,-0.3104578979294659
4.0,0.5,-0.2123145939205848
4.0,0.3,-0.14130375266469583
1.3,0.0001,-1.5749158904233003
1.4,0.0001,-1.4913401840362361
1.5,0.0001,-1.3688847585004404
2.5,0.0001,-0.458133567792098
1.8,0.0001,-0.9688211301739768
1.2,0.0001,-1.498235024725065
1.7,0.0001,-1.0969881292624892
0.4,0.0001,-0.14094164606282605
0.2,0.0001,-0.03094960703101034
0.8,0.0001,-0.5295634413714643
1.6,0.0001,-1.2302076411850182
2.0,0.0001,-0.7819011921284063
1.0,0.0001,-1.0263956997785142
0.0,0.3,0.0
